Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,6,35,0.07931237843424352,5.925507246376812,299,5,4,5,0.05614157602167781,5.985886287625418,299,5,4,5,0.05614157602167781,5.985886287625418,299
2,121,13,174,0.11106037693851847,5.740557413600892,299,5,3,5,0.146338845451884,5.206354515050167,299,5,3,5,0.146338845451884,5.206354515050167,299
3,78,7,83,0.10126702582264653,5.758907469342252,299,5,3,5,0.27950051907740625,4.593511705685619,299,5,3,5,0.27950051907740625,4.593511705685619,299
4,111,4,126,0.0033777031236157913,5.864347826086957,299,5,3,5,0.06035892202150256,5.162720178372353,299,5,3,5,0.06035892202150256,5.162720178372353,299
5,81,30,182,0.0819655308844683,5.711571906354515,299,5,4,5,0.2759077154893318,4.703277591973245,299,5,4,5,0.2759077154893318,4.703277591973245,299
6,44,4,53,0.18033320642003792,5.820624303232999,299,5,3,5,0.07846559717647433,4.573355629877369,299,5,3,5,0.07846559717647433,4.573355629877369,299
7,71,4,74,0.255255530367982,5.32644370122631,299,5,3,5,0.30544905421232393,5.334069119286511,299,5,3,5,0.30544905421232393,5.334069119286511,299
8,203,16,215,0.18555812328336485,5.9851282051282055,299,5,3,5,0.06308353789807529,4.944771460423635,299,5,3,5,0.06308353789807529,4.944771460423635,299
9,148,4,190,0.0936046252705008,5.918706800445931,299,5,4,5,0.2490011264044082,4.502341137123746,299,5,4,5,0.2490011264044082,4.502341137123746,299
10,206,3,239,0.17200564381578176,4.721806020066889,299,5,3,5,0.033108263058662,5.157948717948718,299,5,3,5,0.033108263058662,5.157948717948718,299
11,75,6,79,0.10544369909780744,6.5361872909699,299,5,3,5,0.13332445490663286,5.153065774804905,299,5,3,5,0.13332445490663286,5.153065774804905,299
12,107,6,120,0.13128617853137267,5.352263099219621,299,5,2,5,0.22876071015445765,4.796833890746934,299,5,2,5,0.22876071015445765,4.796833890746934,299
13,183,9,211,0.12474609793868413,5.624816053511705,299,5,4,5,0.2145234644554026,4.41041248606466,299,5,4,5,0.2145234644554026,4.41041248606466,299
14,176,8,193,0.20614284542489636,5.895406911928651,299,5,3,5,0.16836896524656308,5.471192865105909,299,5,3,5,0.16836896524656308,5.471192865105909,299
15,167,7,183,0.061874911485203445,5.486711259754738,299,5,3,5,0.17414791833450527,5.374871794871795,299,5,3,5,0.17414791833450527,5.374871794871795,299
16,27,26,113,0.045090885180168044,5.809966555183946,299,5,3,5,0.1434153581120035,5.544191750278706,299,5,3,5,0.1434153581120035,5.544191750278706,299
17,144,17,177,0.0025246162261069174,5.714425863991082,299,5,3,5,0.24985266240927573,3.983723522853958,299,5,3,5,0.24985266240927573,3.983723522853958,299
18,53,4,74,0.1008560456845764,5.726243032329989,299,5,3,5,0.07480501296282678,5.61123745819398,299,5,3,5,0.07480501296282678,5.61123745819398,299
