Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,4,17,18,0.07931237843424352,5.925507246376812,299,3,17,18,0.0846230710803296,5.905774804905239,299
2,21,37,104,0.11106037693851847,5.740557413600892,299,3,50,99,0.04015966507348579,6.055897435897436,299
3,8,40,44,0.10126702582264653,5.758907469342252,299,3,40,44,0.10908620323837767,5.7154738015607585,299
4,4,26,71,0.0033777031236157913,5.864347826086957,299,3,26,70,0.003147364917221261,5.88113712374582,299
5,12,74,111,0.0819655308844683,5.711571906354515,299,3,74,111,0.06758770919076165,5.70876254180602,299
6,7,9,16,0.18033320642003792,5.820624303232999,299,3,9,16,0.12891764846280435,5.742073578595318,299
7,15,6,52,0.255255530367982,5.32644370122631,299,3,13,52,0.37178266255062764,5.557502787068004,299
8,10,60,104,0.18555812328336485,5.9851282051282055,299,3,62,101,0.22883612369123996,5.898885172798217,299
9,26,11,93,0.0936046252705008,5.918706800445931,299,3,13,93,0.03539848198218581,5.830546265328874,299
10,29,8,99,0.17200564381578176,4.721806020066889,299,3,22,99,0.06911913512267287,4.851036789297659,299
11,4,31,48,0.10544369909780744,6.5361872909699,299,3,31,48,0.10108844236556523,6.536053511705686,299
12,4,33,56,0.13128617853137267,5.352263099219621,299,3,33,56,0.11050256503362692,5.39154960981048,299
13,5,35,52,0.12474609793868413,5.624816053511705,299,3,35,52,0.09647687072406516,5.572173913043478,299
14,8,29,66,0.20614284542489636,5.895406911928651,299,3,30,66,0.14792659985655027,5.79340022296544,299
15,10,21,26,0.061874911485203445,5.486711259754738,299,3,21,26,0.1222333085514169,5.37768115942029,299
16,4,71,102,0.045090885180168044,5.809966555183946,299,3,71,102,0.053113235910708795,5.816499442586399,299
17,10,33,37,0.0025246162261069174,5.714425863991082,299,3,33,37,0.001402353009575619,5.646889632107023,299
18,4,38,60,0.1008560456845764,5.726243032329989,299,3,38,60,0.0923096894444853,5.7328651059085844,299
19,10,47,123,0.03693694774549659,6.044325529542921,299,3,40,110,0.07887383725371254,6.363054626532888,299
20,6,14,18,0.009012823674503652,5.416967670011148,299,3,14,18,0.010020865634059973,5.334292084726868,299
21,9,23,45,0.1721437726505739,5.996365663322185,299,3,25,44,0.13845192000637224,5.905663322185061,299
22,12,28,37,0.16179237374423328,6.19139353400223,299,3,28,37,0.2128625987346675,6.072865105908584,299
23,4,36,77,0.15521336365338528,5.897369007803791,299,3,36,77,0.15461786865449112,5.889253065774805,299
24,4,14,20,0.19350446083072026,5.406243032329989,299,2,14,20,0.18524537189775492,5.3936677814938685,299
25,17,11,95,0.2188165965645329,5.769476031215162,299,3,11,38,0.2870975783768833,6.072263099219621,299
26,5,35,76,0.3523884249828385,5.823589743589744,299,3,41,76,0.442182008296366,5.777569676700112,299
27,8,19,61,0.006273179123515847,6.034202898550725,299,3,23,61,0.014073299965111656,5.986711259754738,299
28,7,54,110,0.07425705652634519,5.225039018952063,299,3,54,105,0.09059632900969594,5.214960981047938,299
29,30,77,124,0.1126949754011122,5.044526198439242,299,3,77,124,0.15667267324553025,4.697458193979933,299
30,7,75,91,0.05366575135173719,5.006153846153846,299,3,75,91,0.08259709983335975,5.05108138238573,299
31,6,61,93,0.11013186567986182,4.734113712374582,299,3,64,93,0.10809186654066821,4.631170568561873,299
32,37,45,122,0.14470071044484203,5.562051282051282,299,3,19,34,0.27950528869819247,5.577926421404682,299
33,17,15,33,0.013813055726832193,5.0369676700111485,299,3,12,16,0.03670732631836266,4.929119286510591,299
34,5,11,12,0.38899911708237955,5.947558528428094,299,3,11,12,0.38305611664207906,5.869654403567447,299
35,2,16,21,0.05687190045479178,6.792954292084727,299,2,16,21,0.05687190045479178,6.792954292084727,299
36,8,10,16,0.07244945476523276,5.29340022296544,299,3,9,16,0.03258484423927169,5.27701226309922,299
37,4,10,15,0.4187321484698301,5.67257525083612,299,3,10,15,0.40877885462244745,5.679197324414716,299
38,4,56,81,0.029829828809561497,5.695005574136009,299,3,56,81,0.032559741748965886,5.655830546265329,299
39,5,43,53,0.39821765939322196,6.228004459308807,299,3,33,41,0.44371505796613764,6.365953177257525,299
40,23,85,119,0.10923168298892778,5.27901895206243,299,3,68,82,0.10349635271629912,5.324593088071349,299
41,23,37,72,0.0986554635765809,5.48989966555184,299,3,28,32,0.036058371268674734,5.684816053511706,299
42,7,9,39,0.21310340189195254,5.670657748049052,299,3,9,31,0.45097197763207175,5.756967670011148,299
43,10,31,52,0.05712049727965628,5.2901226309921965,299,3,31,52,0.09043131946551061,5.367447045707915,299
