Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,50,104,0.07931237843424352,5.925507246376812,299,21,3,33,0.18403699974037413,5.46180602006689,299
2,121,112,246,0.11106037693851847,5.740557413600892,299,147,3,223,0.12681308715690343,5.027424749163879,299
3,78,73,111,0.10126702582264653,5.758907469342252,299,40,3,62,0.10659677612922307,5.308428093645485,299
4,111,155,278,0.0033777031236157913,5.864347826086957,299,162,3,277,0.030122343682638972,6.032263099219621,299
5,81,143,242,0.0819655308844683,5.711571906354515,299,24,3,33,0.1383265690109329,4.712374581939799,299
6,44,76,115,0.18033320642003792,5.820624303232999,299,38,3,46,0.1002374681434604,4.798283166109253,299
7,71,66,87,0.255255530367982,5.32644370122631,299,33,3,37,0.2779885507054386,4.567402452619844,299
8,203,146,270,0.18555812328336485,5.9851282051282055,299,201,3,259,0.25560681832554366,4.804593088071349,299
9,148,43,274,0.0936046252705008,5.918706800445931,299,181,3,271,0.12152044544652721,4.949542920847269,299
10,206,22,279,0.17200564381578176,4.721806020066889,299,214,3,279,0.17801292659974632,3.9629877369007804,299
11,75,67,101,0.10544369909780744,6.5361872909699,299,67,3,93,0.060696167644016946,5.23108138238573,299
12,107,182,246,0.13128617853137267,5.352263099219621,299,144,3,215,0.17122389043428032,4.725908584169454,299
13,183,82,266,0.12474609793868413,5.624816053511705,299,188,3,264,0.11128468135115704,4.355652173913043,299
14,176,64,239,0.20614284542489636,5.895406911928651,299,182,3,239,0.12738559135500346,4.969565217391304,299
15,167,38,267,0.061874911485203445,5.486711259754738,299,180,3,254,0.21834766989422227,4.28891861761427,299
16,27,121,179,0.045090885180168044,5.809966555183946,299,27,3,35,0.15327888109199267,4.913979933110368,299
17,144,146,212,0.0025246162261069174,5.714425863991082,299,24,3,28,0.21283482419071897,4.351973244147157,299
18,53,77,212,0.1008560456845764,5.726243032329989,299,65,3,117,0.4282952307671698,6.069921962095875,299
19,168,157,253,0.03693694774549659,6.044325529542921,299,50,3,65,0.10187352155734017,5.292775919732441,299
20,198,43,257,0.009012823674503652,5.416967670011148,299,198,3,256,0.024992036802812968,4.19041248606466,299
21,23,78,101,0.1721437726505739,5.996365663322185,299,60,3,88,0.0573338343728204,4.963768115942029,299
22,58,108,232,0.16179237374423328,6.19139353400223,299,119,3,214,0.19962292455945974,4.661137123745819,299
23,38,91,256,0.15521336365338528,5.897369007803791,299,118,3,256,0.1541038330067981,5.246354515050167,299
24,52,30,67,0.19350446083072026,5.406243032329989,299,46,3,59,0.17793654927356295,4.477814938684504,299
25,145,48,263,0.2188165965645329,5.769476031215162,299,134,3,219,0.2443417393894125,5.225328874024526,299
26,86,82,278,0.3523884249828385,5.823589743589744,299,163,3,276,0.07322122345266734,4.396900780379041,299
27,94,87,197,0.006273179123515847,6.034202898550725,299,110,3,192,0.14180319075497236,5.179241917502787,299
28,21,104,249,0.07425705652634519,5.225039018952063,299,107,3,249,0.11263080731162342,4.460423634336678,299
29,175,152,260,0.1126949754011122,5.044526198439242,299,182,3,255,0.1756800778938422,4.552329988851728,299
30,166,104,261,0.05366575135173719,5.006153846153846,299,184,3,259,0.1810688648994514,4.366153846153846,299
31,165,161,274,0.11013186567986182,4.734113712374582,299,170,3,251,0.10297854537869149,4.597881828316611,299
32,178,140,253,0.14470071044484203,5.562051282051282,299,180,3,253,0.1114561973789517,5.352597547380156,299
33,154,76,263,0.013813055726832193,5.0369676700111485,299,180,3,263,0.1594332658633778,4.044615384615384,299
34,132,120,259,0.38899911708237955,5.947558528428094,299,162,3,259,0.08820826028731672,5.708717948717949,299
35,34,58,84,0.05687190045479178,6.792954292084727,299,31,3,40,0.11427256689186033,5.738015607580825,299
36,145,110,247,0.07244945476523276,5.29340022296544,299,78,3,113,0.06460855479764703,5.014069119286511,299
37,93,17,150,0.4187321484698301,5.67257525083612,299,99,3,150,0.12145644695896253,5.247759197324415,299
38,117,191,273,0.029829828809561497,5.695005574136009,299,161,3,269,0.2144947252553674,4.201137123745819,299
39,172,117,269,0.39821765939322196,6.228004459308807,299,166,3,252,0.14133427840525115,4.711861761426979,299
40,192,163,263,0.10923168298892778,5.27901895206243,299,187,3,249,0.1607325584337005,4.857413600891862,299
41,134,138,274,0.0986554635765809,5.48989966555184,299,147,3,224,0.1490672190158462,4.4741583054626535,299
42,71,89,261,0.21310340189195254,5.670657748049052,299,136,3,256,0.2308269114044158,5.150301003344482,299
43,130,198,261,0.05712049727965628,5.2901226309921965,299,168,3,256,0.19406997196830722,3.839375696767001,299
44,163,119,235,0.13013846935293302,6.263099219620959,299,181,3,234,0.3836767570711759,6.166532887402453,299
45,65,180,276,0.002994100849694382,5.82180602006689,299,193,3,276,0.18186381670450358,4.563054626532887,299
46,138,142,225,0.6399211574387471,6.335250836120402,299,126,3,190,0.21674050792746502,5.276544035674471,299
47,67,132,257,0.06205337496888233,5.327045707915273,299,116,3,257,0.07121101366532483,5.051036789297659,299
48,107,149,233,0.2662721152325376,6.520802675585284,299,19,3,24,0.19648743140396197,6.472151616499443,299
49,65,124,183,0.28682014814364953,5.814648829431438,299,9,3,15,0.06855574979389611,4.689765886287625,299
50,170,66,251,0.08330319940036783,5.1288963210702345,299,176,3,245,0.12730909896784662,4.144816053511706,299
51,189,158,266,0.19175397147076612,5.7154069119286515,299,190,3,264,0.09165594554927052,5.018127090301003,299
52,103,51,219,0.3555795333739128,5.506176142697882,299,111,3,204,0.12245117154628186,4.982430323299888,299
53,24,184,267,0.06612946434652679,5.169453734671126,299,17,3,21,0.18033877516854435,4.607670011148272,299
54,31,142,248,0.056909679227877256,5.074247491638796,299,109,3,241,0.1121489517115372,5.246688963210702,299
55,48,99,263,0.14780955429520162,5.05752508361204,299,145,3,263,0.038453797899286726,4.40133779264214,299
56,201,131,276,0.07487420890403716,5.378216276477146,299,206,3,276,0.04007768593139501,4.6756967670011145,299
57,34,66,97,0.11651091044705225,5.932931995540692,299,23,3,32,0.16683811018948047,4.297034559643255,299
58,110,173,265,0.532617531728279,5.936633221850613,299,151,3,245,0.27110333763873873,4.915585284280937,299
59,112,127,224,0.25940832098680644,6.072107023411371,299,129,3,196,0.19840710627594726,5.110746934225195,299
60,112,38,257,0.20211844392547051,5.941872909698997,299,128,3,247,0.07514678439550673,4.941739130434782,299
61,164,61,259,0.22909159349117758,5.326622073578595,299,166,3,249,0.26276200102119107,4.620535117056856,299
62,59,160,268,0.20173462863153957,5.994247491638796,299,166,3,262,0.04654489088978932,5.4631661092530654,299
63,85,169,243,0.13136117279132203,5.518037904124861,299,123,3,225,0.15347936623381717,4.694648829431438,299
64,41,195,249,0.0063428936109778036,5.489208472686734,299,88,3,243,0.05888825226109449,4.886911928651059,299
65,193,34,262,0.2872080231030043,5.4396432552954295,299,194,3,257,0.02435140278513197,5.017190635451505,299
66,34,116,182,0.02816546292748803,5.7215384615384615,299,54,3,173,0.028856901372309725,5.6521516164994425,299
67,88,94,258,0.2125026282908904,5.924838350055741,299,161,3,250,0.24030918121099398,4.340535117056856,299
68,47,52,239,0.07225196500155302,7.276967670011148,299,166,3,234,0.06140359800773041,5.681226309921962,299
69,145,34,253,0.08531648098086178,5.155629877369008,299,162,3,242,0.04141334346945123,4.504682274247491,299
70,76,46,104,0.04629308312842597,5.795562987736901,299,79,3,104,0.044241948434323546,5.602118171683389,299
71,68,136,199,0.2242370836507792,5.886243032329989,299,126,3,187,0.1317227243046265,5.16695652173913,299
72,178,32,221,0.24847777644575098,5.3589966555183945,299,162,3,191,0.20848236952695354,4.999152731326644,299
73,49,156,266,0.13497730198591248,5.312396878483835,299,112,3,265,0.1083796882655139,4.729921962095875,299
74,77,186,260,0.046492801037664316,5.770702341137124,299,22,3,29,0.09829933410284329,4.8649721293199555,299
75,57,113,272,0.06536549081582851,5.306845039018952,299,129,3,265,0.11226430355974738,4.425819397993311,299
76,147,110,273,0.021419122147799518,5.609966555183947,299,137,3,238,0.111373158067046,4.8595540691192864,299
77,152,145,273,0.3065254246261411,5.437146042363434,299,200,3,270,0.14116355335656008,5.260780379041249,299
78,128,25,232,0.4529269496471753,6.0434336677814935,299,141,3,221,0.08626031180555768,5.5718840579710145,299
79,34,192,252,0.15818448293266907,5.517257525083612,299,122,3,233,0.18873996176358654,4.411282051282051,299
80,123,202,281,0.2328871625330472,5.1464882943143815,299,189,3,267,0.05441206034566571,4.41355629877369,299
81,163,128,235,0.08312335970152053,5.314113712374582,299,175,3,235,0.23971185513994397,4.260289855072464,299
82,125,128,246,0.05571991010012398,5.232084726867336,299,182,3,246,0.043176122590666,5.131482720178372,299
83,52,49,104,0.18357287042720993,5.786755852842809,299,55,3,104,0.044372652851148164,5.063991081382386,299
84,172,94,258,0.17532505052800595,5.621382385730212,299,172,3,258,0.13328588356897955,4.568695652173913,299
85,148,32,267,0.06270669950753174,6.402408026755853,299,154,3,258,0.18631883108404168,5.562430323299888,299
86,153,185,266,0.08296180402232481,6.253288740245262,299,162,3,241,0.2679212746826952,5.18958751393534,299
87,62,84,261,0.0280066020918544,6.040423634336678,299,67,3,85,0.0726079074115501,5.908205128205128,299
88,54,171,246,0.11344708218824763,5.638283166109253,299,55,3,95,0.3081839365299117,5.413846153846154,299
89,17,165,226,0.2576105727017034,5.235518394648829,299,121,3,201,0.24048189151780086,4.368316610925307,299
90,53,85,228,0.24605605986500345,6.006265328874025,299,80,3,228,0.1191856494280292,5.40711259754738,299
91,123,125,251,0.5526599053026077,6.457770345596432,299,153,3,232,0.22164033528807625,5.067513935340022,299
92,67,79,185,0.09886415830502684,6.339197324414716,299,95,3,157,0.1727924520216919,6.492017837235228,299
93,77,83,135,0.12000781126649136,5.2903232998885175,299,25,3,28,0.06121731893890724,5.52133779264214,299
94,96,127,248,0.022862618856058232,5.6119955406911926,299,36,3,50,0.1390651653649888,4.815741360089186,299
95,148,121,255,0.13525273917184266,5.470769230769231,299,59,3,78,0.1003771507389832,5.213266443701226,299
96,52,195,276,0.015959245621468457,5.453333333333333,299,119,3,272,0.10349737152519747,4.579710144927536,299
97,117,87,163,0.13392018314549803,5.333377926421405,299,110,3,149,0.06988205726036596,4.526599777034559,299
98,146,23,238,0.249854319337507,4.954425863991081,299,176,3,238,0.2197054702802217,4.025507246376812,299
99,199,94,263,0.04143020908726572,5.601672240802675,299,156,3,192,0.10013858252391977,5.556767001114827,299
100,76,182,270,0.12372347867470844,5.463344481605351,299,145,3,265,0.12122148066772065,4.559219620958752,299
